"","dsd_n_1","house_count"
"1","Addalachchenai",3862
"2","Agalawatta",5553
"3","Akkaraipattu",5249
"4","Akmeemana",10599
"5","Akurana",4395
"6","Akuressa",7963
"7","Alawwa",9198
"8","Alayadiwembu",1547
"9","Ambagamuwa",12967
"10","Ambalangoda",9845
"11","Ambalantota",12681
"12","Ambanganga Korale",1591
"13","Ambanpola",4191
"14","Ampara",7983
"15","Anamaduwa",6088
"16","Angunakolapelessa",9382
"17","Arachchikattuwa",5969
"18","Aranayaka",6016
"19","Athuraliya",4334
"20","Attanagalla",30295
"21","Ayagama",2981
"22","Badalkumbura",4922
"23","Baddegama",11302
"24","Badulla",8712
"25","Balangoda",10788
"26","Balapitiya",11232
"27","Bamunakotuwa",5695
"28","Bandaragama",18822
"29","Bandarawela",8099
"30","Beliatta",9618
"31","Bentota",8778
"32","Beruwala",21414
"33","Bibile",5527
"34","Bingiriya",8866
"35","Biyagama",28463
"36","Bope-Poddala",8052
"37","Bulathkohupitiya",4058
"38","Bulathsinhala",8639
"39","Buttala",7977
"40","Chilaw",9681
"41","Colombo",12889
"42","Damana",6370
"43","Dambulla",12138
"44","Dankotuwa",10331
"45","Dehiattakandiya",7779
"46","Dehiovita",8268
"47","Dehiwala",10592
"48","Delft",327
"49","Delthota",2816
"50","Deraniyagala",3992
"51","Devinuwara",7422
"52","Dickwella",8668
"53","Dimbulagala",9567
"54","Divulapitiya",24073
"55","Dodangoda",9537
"56","Doluwa",4634
"57","Dompe",26077
"58","Eheliyagoda",8121
"59","Ehetuwewa",4476
"60","Elahera",5778
"61","Elapatha",3628
"62","Ella",4812
"63","Elpitiya",11817
"64","Embilipitiya",24252
"65","Eravur Pattu",3685
"66","Eravur Town",1883
"67","Galenbindunuwewa",7138
"68","Galewela",11493
"69","Galgamuwa",8567
"70","Galigamuwa",8491
"71","Galle Four Gravets",13280
"72","Galnewa",5931
"73","Gampaha",34318
"74","Ganewatta",6118
"75","Ganga Ihala Korale",4983
"76","Giribawa",4955
"77","Godakawela",6907
"78","Gomarankadawala",698
"79","Gonapeenuwala",3616
"80","Habaraduwa",9375
"81","Hakmana",4314
"82","Haldummulla",3749
"83","Hali-Ela",9661
"84","Hambantota",10195
"85","Hanguranketha",9780
"86","Haputale",5873
"87","Harispattuwa",9056
"88","Hatharaliyadda",2562
"89","Hikkaduwa",14505
"90","Hingurakgoda",9407
"91","Homagama",46876
"92","Horana",23107
"93","Horowpothana",4945
"94","Ibbagamuwa",14506
"95","Imaduwa",6192
"96","Imbulpe",7410
"97","Ingiriya",8546
"98","Ipalogama",6528
"99","Irakkamam",2073
"100","Island North (Kayts)",1532
"101","Island South (Velanai)",3219
"102","Ja-Ela",33066
"103","Jaffna",5063
"104","Kaduwela",46026
"105","Kahatagasdigiliya",6559
"106","Kahawatta",3913
"107","Kalawana",5961
"108","Kalmunai",3628
"109","Kalmunai Tamil Division",2584
"110","Kalpitiya",9085
"111","Kalutara",25860
"112","Kamburupitiya",6303
"113","Kandaketiya",2868
"114","Kandavalai",2032
"115","Kandy Four Gravets & Gangawata Korale",18422
"116","Kanthalai",5337
"117","Karachchi",9485
"118","Karainagar",1830
"119","Karaitheevu",1274
"120","Karandeniya",10469
"121","Karuwalagaswewa",3330
"122","Katana",37932
"123","Katharagama",3057
"124","Kattankudy",3382
"125","Katuwana",7117
"126","Kebithigollewa",3424
"127","Kegalle",11476
"128","Kekirawa",9707
"129","Kelaniya",15799
"130","Kesbewa",41191
"131","Kinniya",5007
"132","Kiriella",3638
"133","Kirinda Puhulwella",2792
"134","Kobeigane",6964
"135","Kolonna",4619
"136","Kolonnawa",17507
"137","Koralai Pattu  West (Oddamavadi)",1125
"138","Koralai Pattu (Valachchenai)",1221
"139","Koralai Pattu Central",1290
"140","Koralai Pattu North (Vaharai)",737
"141","Koralai Pattu South (Kiran)",722
"142","Kotapola",6028
"143","Kotavehera",3923
"144","Kothmale",9375
"145","Kuchchaveli",2999
"146","Kuliyapitiya East",9235
"147","Kuliyapitiya West",14284
"148","Kundasale",15785
"149","Kurunegala",14483
"150","Kuruvita",11274
"151","Laggala-Pallegama",2667
"152","Lahugala",1263
"153","Lankapura",3726
"154","Lunugala",2311
"155","Lunugamvehera",5801
"156","Madampe",7626
"157","Madhu",835
"158","Madulla",5205
"159","Madurawala",5924
"160","Mahakumbukkadawala",2509
"161","Mahaoya",2637
"162","Mahara",32355
"163","Maharagama",30891
"164","Mahawewa",9232
"165","Mahawilachchiya",2742
"166","Mahiyanganaya",10996
"167","Maho",10430
"168","Malimbada",5809
"169","Mallawapitiya",8034
"170","Manmunai North",7157
"171","Manmunai Pattu (Araipattai)",2085
"172","Manmunai South-West",1240
"173","Manmunai South & Eruvil pattu",5975
"174","Manmunai West",1141
"175","Mannar Town",6018
"176","Manthai East",658
"177","Manthai West",1769
"178","Maritimepattu",4662
"179","Maspotha",6245
"180","Matale",10007
"181","Matara Four Gravets",19298
"182","Mathugama",13366
"183","Mawanella",11490
"184","Mawathagama",8998
"185","Medadumbara",4843
"186","Medagama",5152
"187","Medawachchiya",7336
"188","Medirigiriya",7712
"189","Meegahakivula",2391
"190","Mihinthale",6421
"191","Millaniya",8232
"192","Minipe",6199
"193","Minuwangoda",30302
"194","Mirigama",25677
"195","Moneragala",6641
"196","Moratuwa",17427
"197","Morawewa",924
"198","Mulatiyana",7268
"199","Mundal",7484
"200","Musali",1641
"201","Muttur",4810
"202","Nachchaduwa",4135
"203","Nagoda",7919
"204","Nallur",10034
"205","Nanattan",2263
"206","Narammala",9288
"207","Nattandiya",11253
"208","Naula",4654
"209","Navithanveli",1844
"210","Nawagattegama",2268
"211","Negombo",22379
"212","Neluwa",3580
"213","Nikaweratiya",7450
"214","Ninthavur",4120
"215","Nivithigala",5527
"216","Niyagama",6795
"217","Nochchiyagama",7580
"218","Nuwara Eliya",16384
"219","Nuwaragam Palatha Central",9308
"220","Nuwaragam Palatha East",12786
"221","Oddusuddan",2567
"222","Okewela",2818
"223","Opanayake",2662
"224","Pachchilaipalli",1453
"225","Padavi Sri Pura",1122
"226","Padaviya",2794
"227","Padiyathalawa",2568
"228","Padukka",12098
"229","Paduwasnuwara East",5177
"230","Paduwasnuwara West",10882
"231","Palagala",5337
"232","Palindanuwara",6991
"233","Pallama",3325
"234","Pallepola",4586
"235","Palugaswewa",2244
"236","Panadura",27396
"237","Pannala",21231
"238","Panvila",1877
"239","Pasbage Korale",6262
"240","Pasgoda",6279
"241","Passara",4687
"242","Pathadumbara",8848
"243","Pathahewaheta",5807
"244","Pelmadulla",8719
"245","Pitabeddara",6177
"246","Polgahawela",9654
"247","Polpithigama",12979
"248","Poonakary",2224
"249","Poratheevu Pattu",3163
"250","Pottuvil",3495
"251","Pujapitiya",4984
"252","Puthukudiyiruppu",3283
"253","Puttalam",10102
"254","Rajanganaya",4450
"255","Rambewa",5441
"256","Rambukkana",10624
"257","Rasnayakapura",3402
"258","Rathmalana",12091
"259","Ratnapura",13352
"260","Rattota",4951
"261","Rideemaliyadda",6996
"262","Ridigama",12371
"263","Ruwanwella",7239
"264","Sainthamarathu",1758
"265","Sammanthurai",4246
"266","Seethawaka",17281
"267","Seruvila",1660
"268","Sevanagala",6923
"269","Siyambalanduwa",9206
"270","Sooriyawewa",7194
"271","Soranathota",2196
"272","Sri Jayawardanapura Kotte",13590
"273","Tangalle",13682
"274","Thalawa",8802
"275","Thamankaduwa",11328
"276","Thambalagamuwa",2689
"277","Thambuttegama",5827
"278","Thanamalvila",4676
"279","Thawalama",4160
"280","Thenmaradchy (Chavakachcheri)",9135
"281","Thihagoda",5057
"282","Thimbirigasyaya",21224
"283","Thirappane",4663
"284","Thirukkovil",1856
"285","Thumpane",3528
"286","Thunukkai",1090
"287","Tissamaharama",11785
"288","Trincomalee Town and Gravets",9360
"289","Udadumbara",2406
"290","Udapalatha",9141
"291","Udubaddawa",8581
"292","Udunuwara",11127
"293","Uhana",9952
"294","Ukuwela",7033
"295","Uva Paranagama",11366
"296","Vadamaradchy East",1483
"297","Vadamaradchy North (Point Pedro)",6155
"298","Vadamaradchy South-West (Karaveddy)",6948
"299","Valikamam East (Kopay)",10108
"300","Valikamam North",6985
"301","Valikamam South-West (Sandilipay)",6968
"302","Valikamam South (Uduvil)",6570
"303","Valikamam West (Chankanai)",7161
"304","Vavuniya",11125
"305","Vavuniya North",1360
"306","Vavuniya South",1978
"307","Vengalacheddikulam",1814
"308","Verugal Eachchilampattu",720
"309","Walallavita",8169
"310","Walapane",7701
"311","Walasmulla",7013
"312","Wanathavilluwa",2357
"313","Warakapola",13979
"314","Wariyapola",10574
"315","Wattala",23381
"316","Weeraketiya",7310
"317","Weerambugedara",5877
"318","Weligama",11112
"319","Weligepola",3815
"320","Welikanda",4521
"321","Welimada",16254
"322","Welioya",740
"323","Welipitiya",8005
"324","Welivitiya-Divithura",4371
"325","Wellawaya",10134
"326","Wennappuwa",14484
"327","Wilgamuwa",3273
"328","Yakkalamulla",6355
"329","Yatawatta",4507
"330","Yatinuwara",12098
"331","Yatiyanthota",4985
