"","dsd_n_1","road_density"
"1","Addalachchenai",0.00312919692849867
"2","Agalawatta",0.00214762087449549
"3","Akkaraipattu",0.00437950585902127
"4","Akmeemana",0.00490113083495555
"5","Akurana",0.00722962009965039
"6","Akuressa",0.00197132464560522
"7","Alawwa",0.00225479502884054
"8","Alayadiwembu",0.00278911325216118
"9","Ambagamuwa",0.00225204723758033
"10","Ambalangoda",0.00296986187419744
"11","Ambalantota",0.0036239134212119
"12","Ambanganga Korale",0.00219120337822538
"13","Ambanpola",0.0034379782695721
"14","Ampara",0.00222096251047545
"15","Anamaduwa",0.0026805522065363
"16","Angunakolapelessa",0.0039641494832589
"17","Arachchikattuwa",0.00290133501541732
"18","Aranayaka",0.00173724942204202
"19","Athuraliya",0.00214737655639807
"20","Attanagalla",0.00435408156413389
"21","Ayagama",0.00314445933390723
"22","Badalkumbura",0.00100203704789232
"23","Baddegama",0.00395772398361046
"24","Badulla",0.00656906078425969
"25","Balangoda",0.0014165469355885
"26","Balapitiya",0.00381415720985845
"27","Bamunakotuwa",0.00283752161717743
"28","Bandaragama",0.00488432119483485
"29","Bandarawela",0.00545507723350681
"30","Beliatta",0.00411235602554519
"31","Bentota",0.0029891066123756
"32","Beruwala",0.00445026717481754
"33","Bibile",0.0008196730922311
"34","Bingiriya",0.00299626536963784
"35","Biyagama",0.0085575497418727
"36","Bope-Poddala",0.00572156473922305
"37","Bulathkohupitiya",0.00193290606769806
"38","Bulathsinhala",0.00248100752801656
"39","Buttala",0.000620485064290039
"40","Chilaw",0.00300712200209269
"41","Colombo",0.0155242981030147
"42","Damana",0.00147649645350462
"43","Dambulla",0.00180188166353154
"44","Dankotuwa",0.00445697741454189
"45","Dehiattakandiya",0.00111478583046347
"46","Dehiovita",0.00174901508457943
"47","Dehiwala",0.018140189927589
"48","Delft",0.00238463013532542
"49","Delthota",0.0026656968375996
"50","Deraniyagala",0.00125929780878243
"51","Devinuwara",0.00431253357009418
"52","Dickwella",0.00333355321972773
"53","Dimbulagala",0.00250382732801167
"54","Divulapitiya",0.00334568847529415
"55","Dodangoda",0.00313082131890211
"56","Doluwa",0.00331454145816591
"57","Dompe",0.00335909678477818
"58","Eheliyagoda",0.00262147914689419
"59","Ehetuwewa",0.0030197125726435
"60","Elahera",0.00113804804272646
"61","Elapatha",0.0040340786330727
"62","Ella",0.00308813807940872
"63","Elpitiya",0.00337796998364992
"64","Embilipitiya",0.00226256058906101
"65","Eravur Pattu",0.00150023694472804
"66","Eravur Town",0.0159048020657253
"67","Galenbindunuwewa",0.00216644997636486
"68","Galewela",0.00227875868105067
"69","Galgamuwa",0.00418256584625252
"70","Galigamuwa",0.00220153688773754
"71","Galle Four Gravets",0.0108406648034385
"72","Galnewa",0.00258134582900759
"73","Gampaha",0.0116338265019218
"74","Ganewatta",0.00187080141078965
"75","Ganga Ihala Korale",0.00305529139675474
"76","Giribawa",0.00275231481021494
"77","Godakawela",0.0020963168350675
"78","Gomarankadawala",0.00076696349811115
"79","Gonapeenuwala",0.0031655075035908
"80","Habaraduwa",0.00465224008748945
"81","Hakmana",0.00248497406712167
"82","Haldummulla",0.00117904945421904
"83","Hali-Ela",0.00436553719315728
"84","Hambantota",0.00355962433512479
"85","Hanguranketha",0.00214807696163427
"86","Haputale",0.00632053223130419
"87","Harispattuwa",0.00420098203701891
"88","Hatharaliyadda",0.00137689282316536
"89","Hikkaduwa",0.00422907222950106
"90","Hingurakgoda",0.00103466050219103
"91","Homagama",0.00731830901717033
"92","Horana",0.00422505396576001
"93","Horowpothana",0.000717081793109264
"94","Ibbagamuwa",0.00195322448561113
"95","Imaduwa",0.00292667391947974
"96","Imbulpe",0.00150869589108442
"97","Ingiriya",0.00333580367699833
"98","Ipalogama",0.00208002470346514
"99","Irakkamam",0.002462246841156
"100","Island North (Kayts)",0.00340410583416866
"101","Island South (Velanai)",0.00339691457385763
"102","Ja-Ela",0.0112699483577509
"103","Jaffna",0.0144046205317229
"104","Kaduwela",0.0112023635648045
"105","Kahatagasdigiliya",0.00175709429372795
"106","Kahawatta",0.00158557519957742
"107","Kalawana",0.00124590500081042
"108","Kalmunai",0.0134173423777476
"109","Kalmunai Tamil Division",0.00881716844318594
"110","Kalpitiya",0.00287342974835616
"111","Kalutara",0.00560412454520696
"112","Kamburupitiya",0.00281938906630232
"113","Kandaketiya",0.00126112222769235
"114","Kandavalai",0.00195504621540253
"115","Kandy Four Gravets & Gangawata Korale",0.00893295041428965
"116","Kanthalai",0.00106125569201202
"117","Karachchi",0.0028375068472367
"118","Karainagar",0.00444954125981353
"119","Karaitheevu",0.00709246744627112
"120","Karandeniya",0.00328031328177819
"121","Karuwalagaswewa",0.00120256264190042
"122","Katana",0.00859131634182152
"123","Katharagama",0.000387986434144711
"124","Kattankudy",0.0228618864417898
"125","Katuwana",0.00313576498336134
"126","Kebithigollewa",0.000684302771559795
"127","Kegalle",0.00258789506962842
"128","Kekirawa",0.00158854656053358
"129","Kelaniya",0.0124261712732832
"130","Kesbewa",0.00957627735833584
"131","Kinniya",0.00212928342719374
"132","Kiriella",0.00351615560967332
"133","Kirinda Puhulwella",0.0017379761355604
"134","Kobeigane",0.00347357125747515
"135","Kolonna",0.0016697429397259
"136","Kolonnawa",0.0132685509784347
"137","Koralai Pattu  West (Oddamavadi)",0.00453914273935863
"138","Koralai Pattu (Valachchenai)",0.00626943437565397
"139","Koralai Pattu Central",0.00670107568031758
"140","Koralai Pattu North (Vaharai)",0.00131984404843746
"141","Koralai Pattu South (Kiran)",0.00135580977528674
"142","Kotapola",0.00257227388924927
"143","Kotavehera",0.00245504644114862
"144","Kothmale",0.00265611612478088
"145","Kuchchaveli",0.00119076632321446
"146","Kuliyapitiya East",0.00288085703491592
"147","Kuliyapitiya West",0.00359324634065625
"148","Kundasale",0.00491973278591531
"149","Kurunegala",0.00413686775666415
"150","Kuruvita",0.00240320299928713
"151","Laggala-Pallegama",0.000598160537441892
"152","Lahugala",0.000538631906753657
"153","Lankapura",0.00148531361110494
"154","Lunugala",0.00244401705802983
"155","Lunugamvehera",0.002207434937194
"156","Madampe",0.00294056286020774
"157","Madhu",0.000677060943650033
"158","Madulla",0.000351858045779709
"159","Madurawala",0.0052672770106336
"160","Mahakumbukkadawala",0.00255125739002
"161","Mahaoya",0.000482608853945698
"162","Mahara",0.00602786339729433
"163","Maharagama",0.0131320318549917
"164","Mahawewa",0.0033118876851985
"165","Mahawilachchiya",0.000645857986585766
"166","Mahiyanganaya",0.00128012364616254
"167","Maho",0.00249215569719082
"168","Malimbada",0.00518788073466667
"169","Mallawapitiya",0.00295829078268236
"170","Manmunai North",0.0130108932017896
"171","Manmunai Pattu (Araipattai)",0.00821295146888722
"172","Manmunai South-West",0.00312185212360879
"173","Manmunai South & Eruvil pattu",0.00905370594009884
"174","Manmunai West",0.0025123393717383
"175","Mannar Town",0.00211070600403335
"176","Manthai East",0.000809488846994974
"177","Manthai West",0.000671741870298278
"178","Maritimepattu",0.00137801465769834
"179","Maspotha",0.00347831384315505
"180","Matale",0.00329501731174213
"181","Matara Four Gravets",0.00754412660361949
"182","Mathugama",0.00295705507062088
"183","Mawanella",0.00224155420538913
"184","Mawathagama",0.00223453570299996
"185","Medadumbara",0.00178273427092521
"186","Medagama",0.000847108393898887
"187","Medawachchiya",0.00145550773319923
"188","Medirigiriya",0.00117908607693695
"189","Meegahakivula",0.001478974781768
"190","Mihinthale",0.00188324597924527
"191","Millaniya",0.00376063226284532
"192","Minipe",0.0012450259615392
"193","Minuwangoda",0.00607065387137159
"194","Mirigama",0.00304963187381909
"195","Moneragala",0.00100083981428641
"196","Moratuwa",0.0131345881634202
"197","Morawewa",0.000735678249853174
"198","Mulatiyana",0.0020115709479129
"199","Mundal",0.00193704068323313
"200","Musali",0.000669328628115331
"201","Muttur",0.00257114573630162
"202","Nachchaduwa",0.00239099475454413
"203","Nagoda",0.0036960900123485
"204","Nallur",0.00785758980612163
"205","Nanattan",0.002059915627239
"206","Narammala",0.00348884590662012
"207","Nattandiya",0.00444295727874362
"208","Naula",0.000792338342533673
"209","Navithanveli",0.0021092908030815
"210","Nawagattegama",0.00206053482538367
"211","Negombo",0.0111584364802638
"212","Neluwa",0.00257157831258513
"213","Nikaweratiya",0.0030064397244536
"214","Ninthavur",0.00494805805990626
"215","Nivithigala",0.00231422547494355
"216","Niyagama",0.00466778558337318
"217","Nochchiyagama",0.000761460379053026
"218","Nuwara Eliya",0.00283381392374538
"219","Nuwaragam Palatha Central",0.0020806031152447
"220","Nuwaragam Palatha East",0.00506434897268028
"221","Oddusuddan",0.00109214850845089
"222","Okewela",0.00309070118482926
"223","Opanayake",0.00119522683520199
"224","Pachchilaipalli",0.00156089436170679
"225","Padavi Sri Pura",0.00168951511623198
"226","Padaviya",0.00171286383847423
"227","Padiyathalawa",0.000449301039740988
"228","Padukka",0.00310758971108798
"229","Paduwasnuwara East",0.00298685145999446
"230","Paduwasnuwara West",0.00300171495922319
"231","Palagala",0.00132636842562259
"232","Palindanuwara",0.00150211211471484
"233","Pallama",0.00295124111102155
"234","Pallepola",0.00195332240010122
"235","Palugaswewa",0.00104566516114034
"236","Panadura",0.00685259710730674
"237","Pannala",0.00300259732659655
"238","Panvila",0.00254322675143153
"239","Pasbage Korale",0.00273529601660574
"240","Pasgoda",0.00249139865953411
"241","Passara",0.00260276800548808
"242","Pathadumbara",0.00395760050415819
"243","Pathahewaheta",0.00327474557063434
"244","Pelmadulla",0.00282819588395428
"245","Pitabeddara",0.0035976446386349
"246","Polgahawela",0.0031923629146241
"247","Polpithigama",0.00170902650866192
"248","Poonakary",0.00114819364621333
"249","Poratheevu Pattu",0.00414672617965526
"250","Pottuvil",0.00166511222110352
"251","Pujapitiya",0.00338126181168035
"252","Puthukudiyiruppu",0.00171021943718592
"253","Puttalam",0.00362549653012172
"254","Rajanganaya",0.00330531586549955
"255","Rambewa",0.00179166127155841
"256","Rambukkana",0.00207340805699674
"257","Rasnayakapura",0.00297594821558901
"258","Rathmalana",0.0145664514038932
"259","Ratnapura",0.00213075914683225
"260","Rattota",0.00250755050767043
"261","Rideemaliyadda",0.00139660934407284
"262","Ridigama",0.00179406119099714
"263","Ruwanwella",0.00199668815469735
"264","Sainthamarathu",0.00697319847246889
"265","Sammanthurai",0.00264120090054266
"266","Seethawaka",0.00371408489098952
"267","Seruvila",0.00106827400211682
"268","Sevanagala",0.00269387467873107
"269","Siyambalanduwa",0.000627765412785724
"270","Sooriyawewa",0.00363609915498357
"271","Soranathota",0.00202210329187208
"272","Sri Jayawardanapura Kotte",0.0147787660882013
"273","Tangalle",0.00413631465030111
"274","Thalawa",0.00243478186522348
"275","Thamankaduwa",0.00116810404327408
"276","Thambalagamuwa",0.00106765123212969
"277","Thambuttegama",0.00312567779044778
"278","Thanamalvila",0.000674678120975727
"279","Thawalama",0.00306543290903654
"280","Thenmaradchy (Chavakachcheri)",0.00241287321673085
"281","Thihagoda",0.00429699210792974
"282","Thimbirigasyaya",0.0179086837751162
"283","Thirappane",0.00146642122650226
"284","Thirukkovil",0.000928554609356013
"285","Thumpane",0.0019678926214936
"286","Thunukkai",0.00106177810639049
"287","Tissamaharama",0.00121614679650639
"288","Trincomalee Town and Gravets",0.00411838890099414
"289","Udadumbara",0.000842160925355266
"290","Udapalatha",0.0040492957695083
"291","Udubaddawa",0.00329109889646473
"292","Udunuwara",0.00426288805789191
"293","Uhana",0.00101646501884904
"294","Ukuwela",0.00275942952753432
"295","Uva Paranagama",0.00395193087081368
"296","Vadamaradchy East",0.00211969333247616
"297","Vadamaradchy North (Point Pedro)",0.0058060875739484
"298","Vadamaradchy South-West (Karaveddy)",0.00250079100720293
"299","Valikamam East (Kopay)",0.00358034469122188
"300","Valikamam North",0.00398827335222369
"301","Valikamam South-West (Sandilipay)",0.00449175457604862
"302","Valikamam South (Uduvil)",0.00657749019051078
"303","Valikamam West (Chankanai)",0.00374577919398994
"304","Vavuniya",0.00245795984092999
"305","Vavuniya North",0.000948319048999946
"306","Vavuniya South",0.00230212578902633
"307","Vengalacheddikulam",0.00173184760762028
"308","Verugal Eachchilampattu",0.00210404387692552
"309","Walallavita",0.00260375564197746
"310","Walapane",0.00201581147070869
"311","Walasmulla",0.00337229456770705
"312","Wanathavilluwa",0.000767501329317789
"313","Warakapola",0.00188149588607026
"314","Wariyapola",0.00279989746775527
"315","Wattala",0.00830915938697915
"316","Weeraketiya",0.00387453575403865
"317","Weerambugedara",0.00292595039936701
"318","Weligama",0.00546091912936881
"319","Weligepola",0.000948923549259129
"320","Welikanda",0.00136557284635098
"321","Welimada",0.00308008752916232
"322","Welioya",0.00140720168140992
"323","Welipitiya",0.0032493682329472
"324","Welivitiya-Divithura",0.00456217500182368
"325","Wellawaya",0.00101567506664828
"326","Wennappuwa",0.00702844846868035
"327","Wilgamuwa",0.00103686052562879
"328","Yakkalamulla",0.002051820897752
"329","Yatawatta",0.00184167170532903
"330","Yatinuwara",0.00445725736292875
"331","Yatiyanthota",0.00163318131490232
